4.0,-79.876937,43.258918,109.36,1.08,7.94,-656,1856,16240,-211,499,-60,-18.77,124.92,985.74,-4557.90,13105.57,277.66
4.1,-79.876937,43.258918,109.66,1.05,8.17,-432,2144,16224,-210,510,-73,-18.25,128.57,984.95,-4651.48,13148.93,160.39
4.2,-79.876937,43.258918,109.88,1.18,8.35,-720,2096,16160,-212,521,-76,-20.44,131.23,983.71,-4743.36,13250.58,38.59
4.3,-79.876937,43.258918,110.05,1.36,8.40,-864,1952,16400,-212,521,-76,-23.62,132.17,984.79,-4821.45,13336.99,-64.94
4.4,-79.876937,43.258918,110.54,1.48,8.62,-800,2240,16224,-225,520,-73,-25.73,135.62,984.15,-4972.93,13403.44,-131.50
4.5,-79.876937,43.258918,111.22,1.59,8.69,-800,2048,16352,-235,517,-71,-27.53,136.78,984.74,-5167.29,13441.45,-173.61
4.6,-79.876937,43.258918,111.82,1.79,8.76,-1024,2064,16240,-238,521,-74,-31.11,137.92,984.24,-5351.84,13497.33,-231.00
4.7,-79.876945,43.258918,112.27,1.90,8.54,-912,1680,17056,-237,523,-85,-33.13,135.36,991.06,-5501.99,13557.57,-358.07
4.8,-79.876945,43.258918,112.02,1.91,8.17,-736,1200,15888,-211,523,-71,-33.22,128.73,986.48,-5459.64,13609.34,-366.74
4.9,-79.876945,43.258918,112.02,1.91,8.17,-736,1200,15888,-211,523,-71,-33.22,128.73,986.48,-5459.64,13609.34,-366.74
5.0,-79.876945,43.258926,112.06,1.97,7.76,-816,1056,15888,-216,510,-62,-34.03,121.77,982.59,-5457.25,13575.81,-309.18
5.1,-79.876945,43.258926,112.08,1.99,7.40,-784,1104,16432,-216,510,-62,-34.43,116.31,984.11,-5455.21,13547.31,-260.25
5.2,-79.876953,43.258926,112.24,2.10,6.58,-976,256,16832,-222,509,-58,-36.51,103.85,988.94,-5492.81,13516.47,-190.15
5.3,-79.876953,43.258926,112.79,2.20,5.69,-960,-128,16432,-240,510,-68,-38.13,89.71,989.49,-5642.37,13495.78,-201.61
5.4,-79.876953,43.258926,113.23,2.23,4.47,-864,-912,16448,-244,521,-78,-38.62,70.46,990.09,-5794.88,13543.45,-283.18
5.5,-79.876953,43.258926,113.23,2.23,4.47,-864,-912,16448,-244,521,-78,-38.62,70.46,990.09,-5794.88,13543.45,-283.18
5.6,-79.876960,43.258926,113.27,2.25,3.38,-848,-1008,16320,-231,526,-80,-38.89,53.21,989.46,-5839.15,13614.40,-367.16
5.7,-79.876960,43.258926,113.49,2.15,2.48,-640,-944,16560,-239,526,-76,-37.22,39.14,991.05,-5929.12,13673.83,-410.09
5.8,-79.876960,43.258926,113.93,2.05,1.71,-608,-976,16432,-249,523,-80,-35.50,26.88,991.27,-6071.17,13706.39,-474.73
5.9,-79.876960,43.258926,114.31,2.01,1.19,-688,-720,16528,-249,523,-80,-34.78,18.82,992.32,-6191.91,13734.05,-529.68
6.0,-79.876960,43.258926,114.86,1.92,0.80,-592,-656,16432,-258,521,-82,-33.29,12.56,992.35,-6353.53,13745.38,-590.40
